Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt1019452,1,2018-01-19,A Serious Man,https://www.imdb.com/title/tt1019452/,movie,7.0,106,2009,"Comedy, Drama",114283,2009-09-12,"Ethan Coen, Joel Coen"
tt0103873,5,2013-07-18,Braindead,https://www.imdb.com/title/tt0103873/,movie,7.5,104,1992,"Comedy, Horror",83575,1992-07-30,Peter Jackson
tt0106179,10,2012-03-11,The X Files,https://www.imdb.com/title/tt0106179/,tvSeries,8.7,45,1993,"Drama, Mystery, Sci-Fi, Thriller",173310,1993-09-10,
tt1082599,6,2010-10-26,Stag Night,https://www.imdb.com/title/tt1082599/,movie,4.9,84,2008,"Horror, Thriller",2771,2008-06-26,Peter A. Dowling
tt1119644,9,2013-06-05,Fringe,https://www.imdb.com/title/tt1119644/,tvSeries,8.4,46,2008,"Drama, Mystery, Sci-Fi, Thriller",197471,2008-09-09,
tt0113409,4,2018-02-21,In the Mouth of Madness,https://www.imdb.com/title/tt0113409/,movie,7.2,95,1994,"Fantasy, Horror, Mystery, Thriller",49345,1994-12-10,John Carpenter
tt1179933,8,2016-05-16,10 Cloverfield Lane,https://www.imdb.com/title/tt1179933/,movie,7.2,103,2016,"Drama, Horror, Mystery, Sci-Fi, Thriller",234597,2016-03-08,Dan Trachtenberg
tt1182345,7,2018-01-23,Moon,https://www.imdb.com/title/tt1182345/,movie,7.9,97,2009,"Drama, Mystery, Sci-Fi",294722,2009-01-23,Duncan Jones
tt1183374,4,2016-12-31,Pet,https://www.imdb.com/title/tt1183374/,movie,5.7,94,2016,"Horror, Thriller",11921,2016-03-11,Carles Torrens
tt1242432,1,2013-09-23,I Spit on Your Grave,https://www.imdb.com/title/tt1242432/,movie,6.3,108,2010,"Horror, Thriller",63907,2010-05-01,Steven R. Monroe
tt1259521,8,2012-10-07,The Cabin in the Woods,https://www.imdb.com/title/tt1259521/,movie,7.0,95,2012,"Comedy, Fantasy, Horror",315668,2012-03-09,Drew Goddard
tt1288558,8,2013-07-18,Evil Dead,https://www.imdb.com/title/tt1288558/,movie,6.5,91,2013,"Fantasy, Horror, Thriller",139599,2013-03-08,Fede Alvarez
tt0134847,8,2016-10-15,Pitch Black,https://www.imdb.com/title/tt0134847/,movie,7.1,109,2000,"Horror, Sci-Fi",207197,2000-02-18,David Twohy
tt0138704,3,2018-04-25,Pi,https://www.imdb.com/title/tt0138704/,movie,7.4,84,1998,"Drama, Horror, Mystery, Sci-Fi, Thriller",155250,1998-01-31,Darren Aronofsky
tt1398428,5,2018-02-11,YellowBrickRoad,https://www.imdb.com/title/tt1398428/,movie,4.7,98,2010,"Horror, Thriller",5051,2010-01-23,"Andy Mitton, Jesse Holland"
tt1408101,8,2013-12-30,Star Trek: Into Darkness,https://www.imdb.com/title/tt1408101/,movie,7.8,132,2013,"Action, Adventure, Sci-Fi",432351,2013-05-02,J.J. Abrams
tt1446714,8,2012-12-25,Prometheus,https://www.imdb.com/title/tt1446714/,movie,7.0,124,2012,"Adventure, Mystery, Sci-Fi",516661,2012-04-11,Ridley Scott
tt1454468,8,2013-12-18,Gravity,https://www.imdb.com/title/tt1454468/,movie,7.8,91,2013,"Drama, Sci-Fi, Thriller",662761,2013-08-28,Alfonso Cuarón
tt1462758,3,2010-12-24,Buried,https://www.imdb.com/title/tt1462758/,movie,7.0,95,2010,"Drama, Mystery, Thriller",131877,2010-01-23,Rodrigo Cortés
tt1520211,9,2013-06-05,The Walking Dead,https://www.imdb.com/title/tt1520211/,tvSeries,8.4,44,2010,"Drama, Horror, Thriller",738150,2010-10-31,
tt1525890,6,2011-10-05,The Caller,https://www.imdb.com/title/tt1525890/,movie,6.1,92,2011,Thriller,9598,2011-04-15,Matthew Parkhill
tt1527186,4,2011-11-13,Melancholia,https://www.imdb.com/title/tt1527186/,movie,7.1,135,2011,"Drama, Fantasy, Sci-Fi",144557,2011-05-18,Lars von Trier
tt1534085,7,2018-04-20,Beyond the Black Rainbow,https://www.imdb.com/title/tt1534085/,movie,6.0,110,2010,"Horror, Sci-Fi, Thriller",8182,2010-12-03,Panos Cosmatos
