Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt3348730,5,2018-01-12,Jigsaw,https://www.imdb.com/title/tt3348730/,movie,5.8,92,2017,"Crime, Horror, Mystery, Thriller",41821,2017-10-25,"Michael Spierig, Peter Spierig"
tt0365748,9,2017-07-14,Shaun of the Dead,https://www.imdb.com/title/tt0365748/,movie,8.0,99,2004,"Comedy, Horror",442347,2004-03-29,Edgar Wright
tt3774790,5,2015-11-22,400 Days,https://www.imdb.com/title/tt3774790/,movie,4.5,91,2015,"Mystery, Sci-Fi, Thriller",8805,2015-10-29,Matt Osterman
tt3839880,8,2018-01-05,Infinity Chamber,https://www.imdb.com/title/tt3839880/,movie,6.2,103,2016,"Sci-Fi, Thriller",4306,2016-05-31,Travis Milloy
tt0397101,10,2013-09-23,The Skeleton Key,https://www.imdb.com/title/tt0397101/,movie,6.5,104,2005,"Drama, Horror, Mystery, Thriller",95697,2005-07-29,Iain Softley
tt4034354,8,2016-10-01,Swiss Army Man,https://www.imdb.com/title/tt4034354/,movie,7.0,97,2016,"Adventure, Comedy, Drama, Fantasy, Romance",79423,2016-01-22,"Dan Kwan, Daniel Scheinert"
tt4255304,8,2017-04-23,The Void,https://www.imdb.com/title/tt4255304/,movie,5.8,90,2016,"Horror, Mystery, Sci-Fi",20089,2016-09-22,"Steven Kostanski, Jeremy Gillespie"
tt4361050,4,2017-01-16,Ouija: Origin of Evil,https://www.imdb.com/title/tt4361050/,movie,6.1,99,2016,"Horror, Thriller",40324,2016-10-20,Mike Flanagan
tt0439815,10,2012-10-28,Slither,https://www.imdb.com/title/tt0439815/,movie,6.5,95,2006,"Comedy, Horror, Sci-Fi",66966,2006-03-31,James Gunn
tt4520364,5,2016-12-09,Morgan,https://www.imdb.com/title/tt4520364/,movie,5.8,92,2016,"Action, Horror, Sci-Fi, Thriller",31245,2016-09-01,Luke Scott
tt4693358,5,2017-11-18,OtherLife,https://www.imdb.com/title/tt4693358/,movie,6.3,96,2017,"Crime, Mystery, Sci-Fi, Thriller",7484,2017-06-16,Ben C. Lucas
tt4935372,8,2017-03-26,The Devil's Candy,https://www.imdb.com/title/tt4935372/,movie,6.4,79,2015,"Drama, Horror, Thriller",10916,2015-09-13,Sean Byrne
tt5052448,7,2017-05-22,Get Out,https://www.imdb.com/title/tt5052448/,movie,7.7,104,2017,"Horror, Mystery, Thriller",297220,2017-01-23,Jordan Peele
tt5215952,5,2018-04-17,Gok-seong,https://www.imdb.com/title/tt5215952/,movie,7.4,156,2016,"Horror, Mystery, Thriller",27042,2016-05-12,Hong-jin Na
tt5638642,6,2018-02-10,The Ritual,https://www.imdb.com/title/tt5638642/,movie,6.3,94,2017,Horror,30631,2017-09-08,David Bruckner
tt0079944,5,2016-05-16,Stalker,https://www.imdb.com/title/tt0079944/,movie,8.1,162,1979,"Drama, Sci-Fi",87852,1979-05-31,Andrei Tarkovsky
tt0088930,10,2013-02-09,Clue,https://www.imdb.com/title/tt0088930/,movie,7.3,94,1985,"Comedy, Crime, Mystery, Thriller",64781,1985-12-13,Jonathan Lynn
tt0938330,8,2013-07-17,Silent Hill: Revelation,https://www.imdb.com/title/tt0938330/,movie,5.0,95,2012,"Adventure, Drama, Horror, Mystery, Thriller",54539,2012-10-25,M.J. Bassett
tt0095925,8,2018-04-05,Pumpkinhead,https://www.imdb.com/title/tt0095925/,movie,6.2,86,1988,"Fantasy, Horror",16306,1988-06-30,Stan Winston
